"","POI","DISTRICT_N","Status","latitude_poi","longitude_poi"
"1","Neelagiri Stupa","AMPARA",2,"6.8508141","81.7018245"
"2","Rambakan Oya","AMPARA",2,"7.4517754","81.4059924"
"3","Hot Water Springs in Wahawa","AMPARA",2,"7.358684","81.3084967"
"4","The Dagger Clawed People","AMPARA",2,"7.301536","81.674712"
"5","Lahugala Kitulana Forest Reserve","AMPARA",2,"6.886082","81.763291"
"6","Owagiriya Ancient Monastery","AMPARA",2,"7.223855","81.562347"
"7","Veheragala Temple","AMPARA",2,"7.140759","81.776215"
"8","Kebiliththa Devalaya","AMPARA",2,"6.413295","81.332941"
"9","Buddhangala Monastery","AMPARA",2,"7.3317567","81.7036916"
"10","Samangala Forest Hermitage","AMPARA",2,"7.4107828","81.581035"
"11","Maduru Oya National Wildlife Park","AMPARA",2,"7.6476004","81.1867492"
"12","Wadinagala","AMPARA",2,"7.12735","81.572152"
"13","Omunugala Cave Monastery","AMPARA",2,"7.223855","81.562347"
"14","Habuthala Viharaya or Tharulengala Monastery","AMPARA",2,"6.9284418","81.6546257"
"15","Pannathgoda Purana Raja Maha Viharaya","AMPARA",2,"7.1468978","81.5523946"
"16","Senanayaka Samudraya of Inginiyagala","AMPARA",2,"7.2102265","81.5364224"
"17","Muhudu Maha Viharaya","AMPARA",2,"6.8678132","81.8390288"
"18","Jayanthi Wewa","AMPARA",2,"7.122226","81.541385"
"19","Gal Oya National Park","AMPARA",2,"7.2284698","81.4718438"
"20","The Japanese Peace Pagoda","AMPARA",2,"7.2853147","81.653706"
"21","Henanegala Len Viharaya","AMPARA",2,"7.576318","81.2880475"
"22","Govinda Hela of Siyambalanduwa","AMPARA",2,"7.0350741","81.5461623"
"23","Nuwaragala","AMPARA",2,"7.798035","81.002712"
"24","The Steaming Hot Water Wells of Mahaoya","AMPARA",2,"7.5521421","81.3530424"
"25","Okanda Beach","AMPARA",2,"6.6279037","81.7708947"
"26","Ancient Deegawapiya","AMPARA",2,"6.6440004","81.7232027"
