"","FROM","TO","prob"
"1","Abayagiriya","Basawakkulama Wewa",0.03125
"2","Abayagiriya","Dabulla Cave Temple",0.03125
"3","Abayagiriya","Isurumuni Viharaya",0.03125
"4","Abayagiriya","Jethawanaramaya",0.0625
"5","Abayagiriya","Kuttam Pokuna",0.09375
"6","Abayagiriya","Lankaramaya",0.03125
"7","Abayagiriya","Mahasena's Palace, Rathna Prasad",0.375
"8","Abayagiriya","Samadhi Buddha Statue",0.09375
"9","Abayagiriya","Samadhi Statue - 3",0.09375
"10","Abayagiriya","Sigirya",0.03125
"11","Abayagiriya","Sri Maha Bodiya, Ruwanwelisaya",0.125
"12","Adam's Peak","Christ Church Warleigh",0.0740740740740741
"13","Adam's Peak","Devon Falls",0.0740740740740741
"14","Adam's Peak","Ella Town",0.0740740740740741
"15","Adam's Peak","Galle Fort",0.037037037037037
"16","Adam's Peak","Hortan Plains NP",0.0740740740740741
"17","Adam's Peak","Kandy Lake Club",0.037037037037037
"18","Adam's Peak","Kithulgala White Water rafting",0.037037037037037
"19","Adam's Peak","Lake Gregory",0.037037037037037
"20","Adam's Peak","Lipton's Seat",0.0740740740740741
"21","Adam's Peak","Little Adam's Peak Trailhead-Ella",0.037037037037037
"22","Adam's Peak","Mirissa Beach",0.037037037037037
"23","Adam's Peak","Negambo Beach Park",0.037037037037037
"24","Adam's Peak","Royal Botanical Gardens",0.037037037037037
"25","Adam's Peak","Sigirya",0.037037037037037
"26","Adam's Peak","Small Ravana Waterfalls",0.037037037037037
"27","Adam's Peak","Sri Maha Bodiya, Ruwanwelisaya",0.037037037037037
"28","Adam's Peak","St. Clairs Falls",0.037037037037037
"29","Adam's Peak","Temple of Tooth Relic",0.111111111111111
"30","Adam's Peak","Victoria Park",0.037037037037037
"31","Adam's Peak","Yala National Park",0.037037037037037
"32","Ahungalla Beach","Galle Fort",0.5
"33","Ahungalla Beach","Sigirya",0.25
"34","Ahungalla Beach","Tsunami Honganji Viharaya",0.25
"35","Archaelogical Museum","Jethawanaramaya",0.2
"36","Archaelogical Museum","Mirisavatiya",0.2
"37","Archaelogical Museum","Sri Maha Bodiya, Ruwanwelisaya",0.6
"38","Arugam Bay Beach","Adam's Peak",0.125
"39","Arugam Bay Beach","Ella Town",0.125
"40","Arugam Bay Beach","Galle Fort",0.125
"41","Arugam Bay Beach","Hikkaduwa Beach",0.125
"42","Arugam Bay Beach","Labookellie Tea Factory",0.125
"43","Arugam Bay Beach","Mirissa Beach",0.25
"44","Arugam Bay Beach","Weligama Beach",0.125
"45","Ashokaramaya Temple","Pettah Market",0.5
"46","Ashokaramaya Temple","Townhall - Colombo",0.5
"47","Aukana","Dabulla Cave Temple",0.0909090909090909
"48","Aukana","Kaudulla NP",0.0909090909090909
"49","Aukana","King Parakkramabahu Palace, King Nishshankamalla Palace, Parakrama Samudraya Viewpoint",0.181818181818182
"50","Aukana","Kuttam Pokuna",0.0909090909090909
"51","Aukana","Mihintale",0.181818181818182
"52","Aukana","Sigirya",0.0909090909090909
"53","Aukana","Sri Maha Bodiya, Ruwanwelisaya",0.0909090909090909
"54","Aukana","Temple of Tooth Relic",0.0909090909090909
"55","Aukana","Vatadage",0.0909090909090909
"56","Bahirawakanda Temple","Ella Rock",0.125
"57","Bahirawakanda Temple","Ella Town",0.125
"58","Bahirawakanda Temple","Fort - Colombo",0.125
"59","Bahirawakanda Temple","Galle Fort",0.125
"60","Bahirawakanda Temple","Hortan Plains NP",0.125
"61","Bahirawakanda Temple","Temple of Tooth Relic",0.375
"62","Bandaranayaka International Airport","Abayagiriya",0.00103842159916926
"63","Bandaranayaka International Airport","Adam's Peak",0.00623052959501558
"64","Bandaranayaka International Airport","Ahungalla Beach",0.00103842159916926
