"","id","owner","datetaken","ownername","latitude","longitude","url_c","Clusters_0.0005_5","GND_N","PROVINCE_N","DISTRICT_N","date","time"
"5084",17714467238,"71194398@N04","2014-03-04 13:12:30","Wolfsdorf",9.6506,79.9206,"https://live.staticflickr.com/8894/17714467238_956900c82d_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2014-03-04","13:12:30"
"5085",17714463508,"71194398@N04","2014-03-04 13:00:51","Wolfsdorf",9.6211,79.8881,"https://live.staticflickr.com/5442/17714463508_663aa60427_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2014-03-04","13:00:51"
"5089",17714722930,"71194398@N04","2014-03-04 11:00:32","Wolfsdorf",9.6127,79.7744,"https://live.staticflickr.com/7702/17714722930_9d48b1a40a_c.jpg",1,"Chempiyanpattu South","NORTHERN","JAFFNA","2014-03-04","11:00:32"
"5091",17281841303,"71194398@N04","2014-03-04 10:52:06","Wolfsdorf",9.6124,79.7766,"https://live.staticflickr.com/5467/17281841303_f1ae01eb07_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2014-03-04","10:52:06"
"5094",17714708530,"71194398@N04","2014-03-04 09:39:50","Wolfsdorf",9.6104,79.8683,"https://live.staticflickr.com/5347/17714708530_48af5d3b46_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2014-03-04","09:39:50"
"5095",17279720984,"71194398@N04","2014-03-04 09:39:34","Wolfsdorf",9.6104,79.8684,"https://live.staticflickr.com/7683/17279720984_4e12351eeb_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2014-03-04","09:39:34"
"5097",17714432148,"71194398@N04","2014-03-03 11:51:40","Wolfsdorf",9.6671,80.011,"https://live.staticflickr.com/8802/17714432148_492b07a962_c.jpg",2,"Chempiyanpattu South","NORTHERN","JAFFNA","2014-03-03","11:51:40"
"5098",17902809101,"71194398@N04","2014-03-03 10:55:00","Wolfsdorf",9.6664,80.0118,"https://live.staticflickr.com/7737/17902809101_0c10c19b14_c.jpg",2,"Chempiyanpattu South","NORTHERN","JAFFNA","2014-03-03","10:55:00"
"5099",17714691430,"71194398@N04","2014-03-03 10:08:36","Wolfsdorf",9.7294,80.0235,"https://live.staticflickr.com/7776/17714691430_37888cb369_c.jpg",3,"Chempiyanpattu South","NORTHERN","JAFFNA","2014-03-03","10:08:36"
"5100",17714688910,"71194398@N04","2014-03-03 10:06:52","Wolfsdorf",9.7297,80.0237,"https://live.staticflickr.com/5469/17714688910_9ee5162f41_c.jpg",3,"Chempiyanpattu South","NORTHERN","JAFFNA","2014-03-03","10:06:52"
"7865",15039268138,"48293483@N02","2014-08-02 11:43:13","Sekitar",9.8157,80.2512,"https://live.staticflickr.com/3907/15039268138_130ce707f8_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2014-08-02","11:43:13"
"10737",9406749749,"55853415@N07","2021-09-01 15:48:48","richardhwc",9.6746,80.0296,"https://live.staticflickr.com/65535/9406749749_4dbd9c724d_c.jpg",4,"Chempiyanpattu South","NORTHERN","JAFFNA","2021-09-01","15:48:48"
"10738",9392684802,"55853415@N07","2021-09-01 15:48:36","richardhwc",9.6351,79.9571,"https://live.staticflickr.com/65535/9392684802_4fd26a771c_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2021-09-01","15:48:36"
"10743",9416128518,"55853415@N07","2021-09-01 15:33:32","richardhwc",9.6656,80.0259,"https://live.staticflickr.com/65535/9416128518_64cdf0aee8_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2021-09-01","15:33:32"
"10751",9694533757,"55853415@N07","2013-09-08 06:20:27","richardhwc",9.6738,80.0294,"https://live.staticflickr.com/5486/9694533757_5a4146f731_c.jpg",4,"Chempiyanpattu South","NORTHERN","JAFFNA","2013-09-08","06:20:27"
"10753",9688169216,"55853415@N07","2013-09-06 23:14:49","richardhwc",9.6602,80.0123,"https://live.staticflickr.com/3809/9688169216_cd4be5f3ea_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2013-09-06","23:14:49"
"10771",9533507013,"55853415@N07","2013-08-18 04:33:46","richardhwc",9.6808,80.0302,"https://live.staticflickr.com/7414/9533507013_01fcbd0648_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2013-08-18","04:33:46"
"10784",9397595031,"55853415@N07","2021-09-01 15:48:36","richardhwc",9.6223,79.89,"https://live.staticflickr.com/65535/9397595031_5238503b58_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2021-09-01","15:48:36"
"10788",9510624854,"55853415@N07","2013-07-07 00:53:38","richardhwc",9.6504,80.0218,"https://live.staticflickr.com/7411/9510624854_8b6d71c225_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2013-07-07","00:53:38"
"10799",9268295845,"55853415@N07","2013-05-29 20:23:51","richardhwc",9.652,80.0169,"https://live.staticflickr.com/2855/9268295845_a2f96ab9e6_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2013-05-29","20:23:51"
"10800",9254258311,"55853415@N07","2013-05-29 20:18:11","richardhwc",9.651,80.0183,"https://live.staticflickr.com/7386/9254258311_e823408158_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2013-05-29","20:18:11"
"10801",9249901846,"55853415@N07","2013-05-28 20:22:11","richardhwc",9.65,80.02,"https://live.staticflickr.com/7298/9249901846_b0c71a0de5_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2013-05-28","20:22:11"
"10802",9230209297,"55853415@N07","2013-05-28 15:47:18","richardhwc",9.8281,80.2401,"https://live.staticflickr.com/3727/9230209297_2821a797f2_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2013-05-28","15:47:18"
"10803",9222194573,"55853415@N07","2013-05-28 14:11:10","richardhwc",9.8279,80.2385,"https://live.staticflickr.com/3728/9222194573_b5160b777b_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2013-05-28","14:11:10"
"15523",49273785126,"99658976@N00","2019-11-12 20:24:48","Leo Koolhoven",9.6678,80.0093,"https://live.staticflickr.com/65535/49273785126_cb8572901e_c.jpg",5,"Chempiyanpattu South","NORTHERN","JAFFNA","2019-11-12","20:24:48"
"15524",49273785916,"99658976@N00","2019-11-12 20:10:26","Leo Koolhoven",9.6676,80.0092,"https://live.staticflickr.com/65535/49273785916_77f8a8fd7c_c.jpg",5,"Chempiyanpattu South","NORTHERN","JAFFNA","2019-11-12","20:10:26"
"15526",49273319173,"99658976@N00","2019-11-12 19:55:40","Leo Koolhoven",9.6675,80.0096,"https://live.staticflickr.com/65535/49273319173_674476a29c_c.jpg",5,"Chempiyanpattu South","NORTHERN","JAFFNA","2019-11-12","19:55:40"
"15529",49273125618,"99658976@N00","2019-11-12 17:36:11","Leo Koolhoven",9.5275,79.7165,"https://live.staticflickr.com/65535/49273125618_5666a035c1_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2019-11-12","17:36:11"
"15530",49273125883,"99658976@N00","2019-11-12 17:35:25","Leo Koolhoven",9.5276,79.7161,"https://live.staticflickr.com/65535/49273125883_7dfb95ab29_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2019-11-12","17:35:25"
"15536",49273793862,"99658976@N00","2019-11-12 13:54:57","Leo Koolhoven",9.5979,79.7929,"https://live.staticflickr.com/65535/49273793862_10f80dd709_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2019-11-12","13:54:57"
"15537",49273595601,"99658976@N00","2019-11-12 13:47:46","Leo Koolhoven",9.5966,79.7919,"https://live.staticflickr.com/65535/49273595601_66e7588b71_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2019-11-12","13:47:46"
"15538",49273794312,"99658976@N00","2019-11-12 13:33:42","Leo Koolhoven",9.5977,79.7924,"https://live.staticflickr.com/65535/49273794312_3ebfb50775_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2019-11-12","13:33:42"
"15540",49273368426,"99658976@N00","2019-11-11 14:02:52","Leo Koolhoven",9.6757,80.0372,"https://live.staticflickr.com/65535/49273368426_3568b35dcc_c.jpg",0,"Chempiyanpattu South","NORTHERN","JAFFNA","2019-11-11","14:02:52"
