"","id","owner","datetaken","ownername","latitude","longitude","url_c","Clusters_0.0005_5","GND_N","PROVINCE_N","DISTRICT_N","date","time"
"5083",17902320105,"71194398@N04","2014-03-05 11:30:46","Wolfsdorf",9.6391,80.2943,"https://live.staticflickr.com/5459/17902320105_07571ab866_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2014-03-05","11:30:46"
"15562",49272715938,"99658976@N00","2019-11-10 15:58:43","Leo Koolhoven",9.5238,80.406,"https://live.staticflickr.com/65535/49272715938_a3b6813057_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2019-11-10","15:58:43"
"15563",49272716183,"99658976@N00","2019-11-10 15:55:59","Leo Koolhoven",9.503,80.4058,"https://live.staticflickr.com/65535/49272716183_540a4ae9b5_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2019-11-10","15:55:59"
"15564",49273186611,"99658976@N00","2019-11-10 15:48:48","Leo Koolhoven",9.4953,80.4061,"https://live.staticflickr.com/65535/49273186611_15d1ecae67_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2019-11-10","15:48:48"
"21319",39780771551,"13742148@N03","2017-09-23 10:54:12","Uthpala Dilhan",9.3841,80.4087,"https://live.staticflickr.com/4610/39780771551_43ef92e01d_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2017-09-23","10:54:12"
"21831",52183323062,"137166964@N08","2022-02-17 06:52:22","Primal Madusanka",9.5171,80.4061,"https://live.staticflickr.com/65535/52183323062_18b2a9102c_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2022-02-17","06:52:22"
"22951",51123229653,"137166964@N08","2017-09-23 10:55:18","Primal Madusanka",9.3855,80.4085,"https://live.staticflickr.com/65535/51123229653_ddcc588eaa_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2017-09-23","10:55:18"
"22952",51376873562,"137166964@N08","2017-09-23 10:53:38","Primal Madusanka",9.3853,80.4085,"https://live.staticflickr.com/65535/51376873562_a35c4636f8_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2017-09-23","10:53:38"
"22953",51751532250,"137166964@N08","2017-09-23 10:14:30","Primal Madusanka",9.383,80.407,"https://live.staticflickr.com/65535/51751532250_767be2deaf_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2017-09-23","10:14:30"
"23362",52483772461,"137166964@N08","2015-01-28 15:43:01","Primal Madusanka",9.6073,80.3303,"https://live.staticflickr.com/65535/52483772461_0e3eaed4be_c.jpg",0,"Urithirapuram East","NORTHERN","KILINOCHCHI","2015-01-28","15:43:01"
