"","id","owner","datetaken","ownername","latitude","longitude","url_c","Clusters_0.0005_5","GND_N","PROVINCE_N","DISTRICT_N","date","time"
"4832",42723373861,"133200397@N03","2018-06-08 14:30:05","sergei.gussev",7.3168,79.9661,"https://live.staticflickr.com/1721/42723373861_8e0d0584fa_c.jpg",0,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2018-06-08","14:30:05"
"5101",17714685200,"71194398@N04","2014-03-02 09:01:43","Wolfsdorf",7.7385,80.125,"https://live.staticflickr.com/8838/17714685200_6b1c16799f_c.jpg",0,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2014-03-02","09:01:43"
"7077",29172871630,"24160397@N07","2016-03-26 09:42:12","airbreather",7.4984,80.3838,"https://live.staticflickr.com/8007/29172871630_cd578b55c0_c.jpg",0,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2016-03-26","09:42:12"
"7411",32780834027,"95381107@N03","2012-04-03 12:15:38","Ralph Apeldoorn",7.4975,80.3658,"https://live.staticflickr.com/65535/32780834027_caf5c2351f_c.jpg",1,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2012-04-03","12:15:38"
"9191",3893393450,"30064288@N05","2009-07-27 15:30:08","fuchsst",7.7185,80.5103,"https://live.staticflickr.com/2425/3893393450_4fdf54e6ff_c.jpg",0,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2009-07-27","15:30:08"
"9194",3892580725,"30064288@N05","2009-07-27 15:11:27","fuchsst",7.7184,80.5099,"https://live.staticflickr.com/2470/3892580725_d9dc8e05d4_c.jpg",0,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2009-07-27","15:11:27"
"9195",3893361318,"30064288@N05","2009-07-27 14:55:53","fuchsst",7.7157,80.5037,"https://live.staticflickr.com/3472/3893361318_9f21b9fff4_c.jpg",0,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2009-07-27","14:55:53"
"9196",3892570671,"30064288@N05","2009-07-27 14:50:53","fuchsst",7.7149,80.5017,"https://live.staticflickr.com/3469/3892570671_a35c23a41a_c.jpg",0,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2009-07-27","14:50:53"
"9197",3893357672,"30064288@N05","2009-07-27 14:50:21","fuchsst",7.7148,80.5015,"https://live.staticflickr.com/2628/3893357672_cec8af42ba_c.jpg",0,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2009-07-27","14:50:21"
"9198",3892559875,"30064288@N05","2009-07-27 11:15:45","fuchsst",7.6787,80.4155,"https://live.staticflickr.com/3488/3892559875_2b19fdffe8_c.jpg",0,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2009-07-27","11:15:45"
"11882",8364593896,"51809780@N04","2012-12-24 15:49:33","Sonja&Wolfgang",7.5134,80.4173,"https://live.staticflickr.com/8080/8364593896_1823597311_c.jpg",0,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2012-12-24","15:49:33"
"15614",49271809503,"99658976@N00","2019-11-07 16:45:16","Leo Koolhoven",8.002,80.2712,"https://live.staticflickr.com/65535/49271809503_8382847f31_c.jpg",0,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2019-11-07","16:45:16"
"15615",49272278101,"99658976@N00","2019-11-07 16:04:49","Leo Koolhoven",7.8484,80.2592,"https://live.staticflickr.com/65535/49272278101_f4758c59eb_c.jpg",0,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2019-11-07","16:04:49"
"15616",49272474397,"99658976@N00","2019-11-07 15:13:41","Leo Koolhoven",7.3819,80.2975,"https://live.staticflickr.com/65535/49272474397_e40fbb6e5f_c.jpg",0,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2019-11-07","15:13:41"
"21094",47040438131,"54797371@N06","2019-01-30 08:31:08","afer92 (busy)",7.3645,80.1511,"https://live.staticflickr.com/7861/47040438131_70010cceec_c.jpg",0,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2019-01-30","08:31:08"
"21096",46988223082,"54797371@N06","2019-01-30 08:28:12","afer92 (busy)",7.3644,80.1511,"https://live.staticflickr.com/7848/46988223082_2990d480ea_c.jpg",0,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2019-01-30","08:28:12"
"21098",47039922911,"54797371@N06","2019-01-30 08:24:46","afer92 (busy)",7.3643,80.1512,"https://live.staticflickr.com/7909/47039922911_968fcf8703_c.jpg",0,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2019-01-30","08:24:46"
"21272",48436398696,"13742148@N03","2019-08-02 11:11:55","Uthpala Dilhan",7.501,80.3953,"https://live.staticflickr.com/65535/48436398696_73d8946e27_c.jpg",0,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2019-08-02","11:11:55"
"21273",48455028961,"13742148@N03","2019-08-01 15:30:04","Uthpala Dilhan",7.4227,80.3333,"https://live.staticflickr.com/65535/48455028961_72eb593361_c.jpg",0,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2019-08-01","15:30:04"
"21274",49398438418,"13742148@N03","2019-08-01 15:19:59","Uthpala Dilhan",7.4226,80.3333,"https://live.staticflickr.com/65535/49398438418_086acde890_c.jpg",0,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2019-08-01","15:19:59"
"21289",44441110865,"13742148@N03","2018-08-15 00:00:00","Uthpala Dilhan",7.2939,80.2406,"https://live.staticflickr.com/1909/44441110865_d93ba8d902_c.jpg",0,"Ihala Walakumbura","NORTH WESTERN","KURUNEGALA","2018-08-15","00:00:00"
